rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/std,train/explained_variance,train/clip_range
852.66,647168,158,1537.6488695,236,2736,0.0003,-5.8964632749557495,-0.008957194788672495,0.08916015625,-0.07774093747138977,0.007020149,1570,0.0011265405359154102,1.157252311706543,0.9545760974287987,0.2
870.71,651264,159,1583.6439329800005,238,2736,0.0003,-5.8856578946113585,-0.010982743051135913,0.0621826171875,-0.0781213641166687,0.007959993,1580,0.00030291307994048113,1.1579294204711914,0.972685907036066,0.2
870.71,655360,160,1584.2622065499997,239,2733,0.0003,-5.883461511135101,-0.00750462242285721,0.070068359375,-0.07969340682029724,0.010506066,1590,0.001107420472544618,1.1556110382080078,0.9853564016520977,0.2
879.6,659456,161,1606.5818547,241,2730,0.0003,-5.874642241001129,-0.010820631185197271,0.094921875,-0.08059268444776535,0.006904507,1600,0.0004721216686448315,1.1521387100219727,0.974499037489295,0.2
898.13,663552,162,1649.5861718600001,242,2732,0.0003,-5.867825555801391,-0.010532572175725364,0.05732421875,-0.07794129848480225,0.006903614,1610,0.0005961444610875332,1.1549919843673706,0.9314907491207123,0.2
898.13,667648,163,1650.8192798700004,243,2736,0.0003,-5.872539746761322,-0.010375298094004393,0.0470703125,-0.06981393694877625,0.0069386954,1620,0.00045044127909932286,1.1577961444854736,0.9745707381516695,0.2
907.04,671744,164,1675.0574571400002,245,2740,0.0003,-5.879541873931885,-0.011263745042379014,0.1060791015625,-0.07571043074131012,0.008959306,1630,0.0004441177341504954,1.159133791923523,0.9681950435042381,0.2
879.37,675840,165,1612.43493964,246,2743,0.0003,-5.886927145719528,-0.008281238886411302,0.05166015625,-0.07111833244562149,0.005728045,1640,0.0014439933995163301,1.1616661548614502,0.9875931171700358,0.2
879.37,679936,166,1615.5935323400001,247,2742,0.0003,-5.903276717662811,-0.007868030955432915,0.0479736328125,-0.07538151741027832,0.0038671216,1650,0.002510540581715759,1.16727876663208,0.9914161106571555,0.2
879.37,684032,167,1616.4298563300001,249,2740,0.0003,-5.927068412303925,-0.010404815137735567,0.0705078125,-0.07107122987508774,0.006551332,1660,0.0005118421213410329,1.1736743450164795,0.9793270826339722,0.2
879.37,688128,168,1614.2060766599998,250,2742,0.0003,-5.93508660197258,-0.009218505606986583,0.036181640625,-0.08141717314720154,0.005492348,1670,0.0007552506354841171,1.1742126941680908,0.9362327307462692,0.2
879.37,692224,169,1614.2944237099998,252,2746,0.0003,-5.933171111345291,-0.008623846416594461,0.0527587890625,-0.08015359938144684,0.0072257305,1680,0.0010133577136002714,1.1786597967147827,0.9684921503067017,0.2
888.27,696320,170,1635.6228262000002,253,2748,0.0003,-5.946092015504837,-0.00506338837731164,0.048876953125,-0.07073110342025757,0.005897835,1690,0.0004164066522207577,1.1841769218444824,0.9634117148816586,0.2
888.53,700416,171,1634.52796584,254,2748,0.0003,-5.9467900693416595,-0.00661543684109347,0.037158203125,-0.06610699743032455,0.0060899085,1700,0.0004661562372348271,1.1795158386230469,0.9906907565891743,0.2
880.22,704512,172,1611.5636424,256,2746,0.0003,-5.932954955101013,-0.007972208232968115,0.0505126953125,-0.06489192694425583,0.0068611354,1710,0.008146188317914494,1.1784794330596924,0.9853464411571622,0.2
880.29,708608,173,1611.01207486,258,2742,0.0003,-5.934085190296173,-0.008474214139278046,0.071923828125,-0.06982290744781494,0.0058304607,1720,0.0014891869614075404,1.1813596487045288,0.981262631714344,0.2
889.74,712704,174,1631.4877025199999,259,2745,0.0003,-5.935080593824386,-0.008490712189814075,0.05009765625,-0.0737343430519104,0.005412463,1730,0.0007800150833645603,1.1801567077636719,0.9843765664845705,0.2
899.18,716800,175,1652.2806044700003,260,2751,0.0003,-5.941725671291351,-0.006023880385328084,0.0420654296875,-0.0621592216193676,0.005661173,1740,0.001585476334003033,1.1829384565353394,0.9358820468187332,0.2
908.53,720896,176,1671.5990187999998,261,2755,0.0003,-5.941305941343307,-0.006071541446726769,0.09453125,-0.06748904287815094,0.009766115,1750,0.00040578016287327043,1.180906057357788,0.9101743474602699,0.2
908.53,724992,177,1672.4529638299998,263,2751,0.0003,-5.936376661062241,-0.008244417459354735,0.0458740234375,-0.06582679599523544,0.0064815003,1760,0.001568199747998733,1.1818022727966309,0.965087428689003,0.2
918.03,729088,178,1689.5610301900006,265,2747,0.0003,-5.938593727350235,-0.008629329118411988,0.0625244140625,-0.07201321423053741,0.006024584,1770,0.00027035774692194534,1.1877535581588745,0.8825354650616646,0.2
926.91,733184,179,1713.4182105200005,266,2751,0.0003,-5.939585167169571,-0.006510583475755993,0.0690185546875,-0.06770853698253632,0.010752175,1780,0.007878671580692753,1.1836413145065308,0.9525344371795654,0.2
908.36,737280,180,1669.33308422,267,2755,0.0003,-5.934947806596756,-0.006870277581037953,0.0392822265625,-0.06943289190530777,0.0060758297,1790,0.003989523684140295,1.188037633895874,0.9722817130386829,0.2
908.38,741376,181,1667.16377291,268,2756,0.0003,-5.944684880971908,-0.009469067616737447,0.0643798828125,-0.07087259739637375,0.008252016,1800,0.00487096537835896,1.1881649494171143,0.9535700231790543,0.2
