time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/value_loss,train/std,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
528,739.92,440,1802240,1247.2452962500001,3411,0.0952880859375,4390,0.3729153160005808,1.000079870223999,0.01932234689593315,0.08959555625915527,-0.0028372926870360972,0.0073305117,0.0003,-5.54095492362976,0.2
529,744.86,441,1806336,1262.88316079,3412,0.097119140625,4400,0.6106690727174282,1.002293586730957,0.3089714050292969,0.34526902437210083,-0.004155832098331302,0.008294754,0.0003,-5.539379441738129,0.2
530,764.03,442,1810432,1303.4334912599998,3414,0.178369140625,4410,0.35417896807193755,1.0072143077850342,0.12265630811452866,0.1941899061203003,-0.005824170794221572,0.015271829,0.0003,-5.553643155097961,0.2
531,743.17,443,1814528,1254.87603631,3415,0.1036376953125,4420,0.5991302333772183,1.0102558135986328,0.12872761487960815,0.06934362649917603,-0.0045881839992944155,0.009717517,0.0003,-5.5685356736183165,0.2
532,762.5,444,1818624,1293.81117205,3417,0.1271728515625,4430,0.36015046425163744,1.007413387298584,0.0900663286447525,0.5152137577533722,-0.002189945806458127,0.009306766,0.0003,-5.566051441431045,0.2
533,754.04,445,1822720,1276.95013455,3417,0.140673828125,4440,0.4983030628412962,1.0065147876739502,0.2280445694923401,-0.005080461502075195,-0.006823872501263395,0.011101741,0.0003,-5.555785381793976,0.2
534,781.57,446,1826816,1333.36745106,3419,0.1383056640625,4450,0.5021366313099861,1.0017602443695068,0.05735078081488609,0.17542481422424316,-0.005373730597784743,0.009821042,0.0003,-5.542372035980224,0.2
535,781.69,447,1830912,1333.2666018399998,3420,0.171875,4460,0.4860446574166417,0.9979648590087891,0.09312810003757477,-0.013594985008239746,-0.005612002781708725,0.011559332,0.0003,-5.525241160392762,0.2
536,790.51,448,1835008,1352.3624000099999,3422,0.100439453125,4470,0.48536991933360696,0.9987705945968628,0.15974870324134827,0.24022090435028076,-0.004410518135409802,0.009018831,0.0003,-5.516972208023072,0.2
537,771.82,449,1839104,1315.80637664,3422,0.095751953125,4480,0.6046302746981382,1.0017626285552979,0.07653085887432098,0.15609627962112427,-0.003601974528282881,0.00886067,0.0003,-5.522869461774826,0.2
538,781.18,450,1843200,1335.44276654,3423,0.1346435546875,4490,0.42470242492854593,1.008183240890503,0.11050240695476532,0.2033119797706604,-0.008029908826574682,0.01072121,0.0003,-5.5411614060401915,0.2
539,788.71,451,1847296,1351.1669849999996,3424,0.1634033203125,4500,0.36117694042623044,1.0032280683517456,0.11155882477760315,0.00017595291137695312,-0.006882347319333348,0.014644774,0.0003,-5.542486488819122,0.2
540,798.38,452,1851392,1369.3016094500001,3426,0.114208984375,4510,0.610480872541666,1.002832293510437,0.27893078327178955,0.26464033126831055,-0.006083507931907661,0.008459092,0.0003,-5.528472799062729,0.2
541,814.93,453,1855488,1404.93760776,3427,0.1573486328125,4520,0.37000932544469833,1.0015867948532104,0.07470749318599701,0.009138822555541992,-0.004681075605913065,0.012775222,0.0003,-5.525404584407807,0.2
542,824.45,454,1859584,1423.36054163,3428,0.1357177734375,4530,0.6032602421939373,0.9971122741699219,0.19967548549175262,0.25646185874938965,-0.006047126260818913,0.008513512,0.0003,-5.512008172273636,0.2
543,833.7,455,1863680,1442.3036456700002,3429,0.1213623046875,4540,0.3554324415512383,0.9953238368034363,0.15485061705112457,0.045655250549316406,-0.006259763325215317,0.011425022,0.0003,-5.498155409097672,0.2
544,836.46,456,1867776,1444.6135731899997,3430,0.16982421875,4550,0.5954233957454562,0.99356609582901,0.17657014727592468,0.1330224871635437,-0.0072141558834118765,0.01551442,0.0003,-5.489838194847107,0.2
545,823.53,457,1871872,1423.7750371700001,3431,0.0947265625,4560,0.3572659123688936,0.9915271997451782,0.07933161407709122,0.4860864281654358,-0.006085936015006154,0.00784643,0.0003,-5.481395024061203,0.2
546,810.92,458,1875968,1391.2149445900002,3432,0.1250244140625,4570,0.5874163247644901,0.9885295629501343,0.20068785548210144,0.5871642529964447,-0.005079126430791803,0.010014636,0.0003,-5.4729489386081696,0.2
547,775.54,459,1880064,1318.34628996,3433,0.1065673828125,4580,0.4175240099430084,0.9924988150596619,0.20803262293338776,0.4211024045944214,-0.003362305142218247,0.013215274,0.0003,-5.474922317266464,0.2
