trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,best_dtw,mean_rmse_same_dir,mean_corr_same_dir,mean_dtw_same_dir
131,-1.0,40,0,0.06519736323096888,0.10778087028192693,0.007574074729309807,0.08258954698476538,0.09862433422262021,0.040792437224183
132,-1.0,40,10,0.07583047476392926,0.12713100807801114,0.0041003816314053145,0.08214703097221152,0.11409354406665217,0.03605498232083791
133,-1.0,40,38,0.07559930284422167,0.11650598079050244,0.006298848056022433,0.08404683211994754,0.10292443553596264,0.03760544010857043
134,-1.0,40,5,0.0013115935847456555,0.23232841231888093,0.0007615204172024908,0.08569842545330177,-0.3281508239705282,0.08447822818276236
135,-1.0,40,30,0.04755430418467874,0.3618597550759659,0.007496096957669296,0.0644536876008445,0.3146676708416378,0.03443348974351966
136,-1.0,40,30,0.07882991750073672,0.13923862436053808,0.005905726509051307,0.08246750175372833,0.12504094401242746,0.0317552685531435
137,-1.0,40,30,0.07952872247620466,0.12333012284584624,0.004955109972470702,0.08194701829884951,0.11170798088150732,0.035605151939600774
138,-1.0,40,1,0.08112929163293339,0.0934953512341312,0.006820384065968078,0.0854182905094508,0.08667677268336402,0.04009052696905609
139,-1.0,40,14,0.07115529353688259,0.11169841085821422,0.005257695154442016,0.08348421924615497,0.100332091797996,0.039741723442911936
140,-1.0,40,30,0.08025429938552864,0.12702622764433322,0.00473216393269239,0.08289735973066509,0.11519140923859335,0.035209754559303995
141,-1.0,40,30,0.08344369049561848,0.1005313649223197,0.004800833645317332,0.08424818405785808,0.0937224025430679,0.037872097720928255
142,-1.0,40,2,0.09851503940544022,0.15212112106732006,0.0037091446600423525,0.08323598937117119,0.12821107050830952,0.031866846670740336
143,-1.0,40,30,0.07799830364713504,0.13296456376020685,0.004056144085812608,0.08027774816640468,0.1203825768367047,0.034522117318606216
144,-1.0,40,5,0.031164930444686743,0.02000608453915634,0.012427412986250176,0.08448140273382383,0.098502478539737,0.04629070441771141
145,-1.0,40,1,0.07998084396955087,0.11374772338700304,0.006469322795265294,0.08459471639914122,0.10367787987976287,0.03914800352485583
146,-1.0,40,28,0.06901765856533058,0.09638143420908728,0.005557983434464193,0.08406598352721376,0.09338982775965654,0.039776504321142526
147,-1.0,40,5,0.0016130169443482755,0.1828715885013367,0.0011094561341049363,0.08537720133896512,-0.034740641649415656,0.08410084849104751
148,-1.0,40,30,0.047863072333770185,0.35959593380549526,0.00731706704615689,0.06449575682542183,0.3127387672835281,0.03448947526932217
149,-1.0,40,30,0.0833950309130484,0.11434499957542306,0.005070967557649588,0.08426344268517497,0.10604980840192982,0.03793353792293319
150,-1.0,40,1,0.07862453245094182,0.10734454980185437,0.005245070252462106,0.08353096647318024,0.09844323314714394,0.0375692644054117
151,-1.0,40,1,0.07917383544783896,0.10813851469083535,0.005728013042253237,0.08395825227539018,0.09876109512740028,0.037617656583363454
152,-1.0,40,1,0.077871173065261,0.1224039679253385,0.006642423631055357,0.08346909372513753,0.11069835110502328,0.03724526307808838
153,-1.0,40,5,0.02932954722291699,0.019658875261422737,0.011030385715930917,0.08543346448700842,0.06868365657653583,0.04805955501488125
154,-1.0,40,20,0.043350308528388025,0.10514616703572609,0.008321960302151253,0.08389156007774187,0.09043977600922085,0.04367438769686001
155,-1.0,40,30,0.08170345541567488,0.1276899239708762,0.006776364560148035,0.08425222874746847,0.11503906544393669,0.036091610583378175
